Job_Title,Company_Name,City,Number_Of_Days,Skills,Employment_Type,Salary
"Data Scientist (Machine Learning) in Alpharetta, GA","Lorven Technologies, Inc.","Alpharetta, GA",9 minutes ago,"Machine Learning, Data Scientist","Full Time, 12 months",
Senior Data Scientist - $160k - San Francisco,Jefferson Frank,"San Francisco, CA",58 minutes ago,Senior Data Scientist - $160k - San Francisco,Full Time,$ - $160000 per annum
Data Scientist - Remote - 130-160k+ - Global Accounting Leader,Jefferson Frank,,58 minutes ago,"Data Scientist, Date, Data Engineer, AWS, AWS Big Data",Full Time,$130 - $160 per annum
"Data Scientist/Arlington, VA/ Full Time/ $150K",Jefferson Frank,"Arlington, VA",58 minutes ago,"Data Scientist/Arlington, VA/ Full Time/ $150K",Full Time,$140000 - $150000 per annum
Data Scientist(Healthcare Exp a Plus!),CyberCoders,"Washington, DC",14 hours ago,,,
Data Scientist (Remote Position),VALiNTRYtechnology,"Jacksonville, FL",3 hours ago,"DATA SCIENTIST, DATA SCIENCE, R, PYTHON, SQL, JAVA, MACHINE LEARNING, BIG DATA, DATA MINING, STATISTICAL",Full Time,BASED ON EXPERIENCE
Data Scientist / Database Architect,IT Resonance Inc.,"Springfield, VA",1 day ago,Data Scientist,Full Time,Depends on Experience
Sr Data scientist,"Maxonic, Inc.","Pleasanton, CA",3 hours ago,Sr Data scientist,"Contract Corp-To-Corp, Contract W2, 6 months",
Data Scientist,AgreeYa Solutions,"Plano, TX",1 day ago,"Algorithms, Apache Spark, Big data, Deep learning, DS, TensorFlow, Machine learning, Python, PyTorch, data scientist, nlp","Contract W2, 18 Months",Depends on Experience
Data Scientist,InfiCare Technologies,"Raleigh, NC",9 minutes ago,"Machine Learning, Data Scientist, Artificial Intelligence","Contract Independent, Contract W2, 12+ Months",
Data Scientist-W2 Only- Local to Sacramento CA,"iSpace, Inc","Sacramento, CA",1 day ago,"DATA Scientist, Machine Learning, R&D, BI, Power BI, SQL, MYSQL, POSTGRE SQL, Lambda, Elastic search, Python",Contract W2,"Up to $110,000"
Data Scientist- W2 Only- Local to SFO,"iSpace, Inc","San Francisco, CA",1 day ago,"Data Scientist, Machine Learning, SQL, Postgre SQL, BI, Power BI, Python, Lambda, Elastic Search, database management concepts, dimensional data modeling, data warehouse concepts","Contract W2, 4 Months","Up to $110,000"
